sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,16,,良好,0.7,0.08,17.4,17.7,8,1,1.6,1.7,0.1,2.1,94,"2023/07/16 06:00:00",0,4.1,11,0,121.760056,25.129167,1
汐止,新北市,13,,良好,0.6,0.14,11.6,14.3,,2,6.1,7.1,0.9,0.8,3,"2023/07/16 06:00:00",0.1,2.1,,0,121.64081,25.06624,2
萬里,新北市,16,,良好,0.5,0.1,11.4,17.1,7,4,2.3,3.1,0.8,1.8,203,"2023/07/16 06:00:00",0,4.3,9,0,121.689881,25.179667,3
新店,新北市,15,,良好,0.8,0.09,16.9,16,9,0,3.9,4.6,0.7,1.8,60,"2023/07/16 06:00:00",0,2.5,8,0,121.537778,24.977222,4
土城,新北市,17,,良好,0.8,0.23,7.6,7,20,4,10,14.5,4.5,1.1,161,"2023/07/16 06:00:00",0.2,5,14,0,121.451861,24.982528,5
板橋,新北市,13,,良好,0.6,0.18,12.1,12.1,,4,4.9,6,1.1,1.7,52,"2023/07/16 06:00:00",0.1,3.9,,0,121.458667,25.012972,6
新莊,新北市,17,,良好,0.4,0.1,15.5,14.3,15,6,3.3,3.7,0.4,3.6,68,"2023/07/16 06:00:00",0.1,5.2,11,0,121.4325,25.037972,7
菜寮,新北市,18,,良好,0.8,0.14,16.1,14.2,6,5,3.7,3.5,0,2.9,107,"2023/07/16 06:00:00",0.1,5.4,9,0,121.481028,25.06895,8
林口,新北市,13,,良好,0.3,0.13,15.9,14.9,6,2,4.1,5.5,1.3,2.6,100,"2023/07/16 06:00:00",0.1,2.3,8,0,121.36548982,25.07798949,9
淡水,新北市,18,,良好,1,0.09,20,19,12,1,1.7,2.2,0.5,4.3,150,"2023/07/16 06:00:00",0,1,9,1,121.449239,25.1645,10
士林,臺北市,21,,良好,0.4,0.08,15.4,17.2,,8,3,3.6,0.6,1.1,139,"2023/07/16 06:00:00",0,6.5,,0,121.51666356,25.10334003,11
中山,臺北市,14,,良好,0.5,0.1,17,15.2,7,4,2.1,2.5,0.4,3.2,127,"2023/07/16 06:00:00",0.1,2.8,9,0,121.526528,25.062361,12
萬華,臺北市,18,,良好,0,0.11,15.9,14.8,4,4,3.7,4.4,0.7,2.3,92,"2023/07/16 06:00:00",0.1,5.5,5,0,121.507972,25.046503,13
古亭,臺北市,15,,良好,0.3,0.06,16.2,16.2,11,3,2.9,3.4,0.4,1.8,57,"2023/07/16 06:00:00",0,4.1,9,0,121.529556,25.020608,14
松山,臺北市,14,,良好,0.7,0.12,12.3,15.4,7,2,4,5.1,1.1,0.3,53,"2023/07/16 06:00:00",0,1.3,6,0,121.578611,25.05,15
大同,臺北市,28,,良好,0.9,0.23,13.9,11.4,11,8,3.7,6,2.2,-,-,"2023/07/16 06:00:00",0.3,8.5,14,0,121.51342074,25.06331455,16
桃園,桃園市,19,,良好,6.4,0.23,8.3,8.6,19,4,7.1,8.4,1.2,1.1,73,"2023/07/16 06:00:00",0.2,6,16,2,121.30500531,24.9947107,17
大園,桃園市,23,,良好,1.2,0.21,5.5,6.3,13,4,14.6,16.7,2,0.9,136,"2023/07/16 06:00:00",0.2,5.4,14,0,121.20251473,25.06100357,18
觀音,桃園市,58,細懸浮微粒,普通,1,0.24,8,19.6,29,17,10.7,11.9,1.2,2,103,"2023/07/16 06:00:00",0.2,18.3,31,0,121.08283092,25.03556747,19
平鎮,桃園市,36,,良好,1.3,0.19,9.2,11.2,17,9,8.5,9,0.5,1.7,106,"2023/07/16 06:00:00",0.2,11,21,1,121.203986,24.952786,20
龍潭,桃園市,46,,良好,,0.16,6.6,20.6,10,8,5.4,7.4,2,0.5,129,"2023/07/16 06:00:00",0.2,14.2,21,0,121.21645772,24.86400048,21
湖口,新竹縣,43,,良好,0.6,0.3,10,23.4,30,19,13.1,14.1,0.9,1.2,115,"2023/07/16 06:00:00",0.2,13.2,25,1,121.03886894,24.90009696,22
竹東,新竹縣,42,,良好,0.5,0.17,11.1,14.6,17,11,3.1,4.1,1,1.9,127,"2023/07/16 06:00:00",0.2,13,22,1,121.08895493,24.74091408,23
新竹,新竹市,40,,良好,1.2,0.19,15.9,22.4,25,10,7.8,8.3,0.5,0.4,68,"2023/07/16 06:00:00",0.2,12.2,22,1,120.97236752,24.8056356,24
頭份,苗栗縣,43,,良好,1.1,0.2,12.9,23.6,,15,4.7,6.2,1.4,1.2,91,"2023/07/16 06:00:00",0.1,13.3,,0,120.89869286,24.69690679,25
苗栗,苗栗縣,42,,良好,1.1,0.22,,18.3,27,14,6.9,8.2,1.3,0.3,158,"2023/07/16 06:00:00",0.2,13,24,1,120.82011468,24.56499183,26
三義,苗栗縣,47,,良好,0.5,0.22,8.9,14.5,,13,5.4,6.2,0.8,0.3,329,"2023/07/16 06:00:00",0.2,14.4,,1,120.75956754,24.38248443,27
豐原,臺中市,53,細懸浮微粒,普通,1.5,0.25,10.9,13,24,14,5.7,7.2,1.5,1.2,101,"2023/07/16 06:00:00",0.2,16.5,25,2,120.74252414,24.25699731,28
沙鹿,臺中市,51,細懸浮微粒,普通,1,0.18,24,21.7,,19,5.6,6.8,1.2,0.8,75,"2023/07/16 06:00:00",0.2,15.6,,1,120.568794,24.225628,29
大里,臺中市,44,,良好,1,0.23,19.2,19.2,23,15,5,5.3,0.3,1.1,109,"2023/07/16 06:00:00",0.2,13.5,29,1,120.67844444,24.09961111,30
忠明,臺中市,42,,良好,1.2,0.19,26.3,21.5,,13,4.9,5.1,0.2,0.4,38,"2023/07/16 06:00:00",0.2,13,,1,120.641092,24.151958,31
西屯,臺中市,52,細懸浮微粒,普通,1,0.19,17.5,17.2,30,18,10.1,11.5,1.3,0.3,221,"2023/07/16 06:00:00",0.2,15.9,29,1,120.616917,24.162197,32
彰化,彰化縣,50,,良好,0.6,0.16,18.3,18.4,,15,4.8,6.1,1.3,0.3,63,"2023/07/16 06:00:00",0.1,15.4,,1,120.541519,24.066,33
線西,彰化縣,69,細懸浮微粒,普通,1.5,0.23,15.3,19.9,45,29,6.9,7.5,0.6,1.5,111,"2023/07/16 06:00:00",0.1,23,38,1,120.469061,24.131672,34
二林,彰化縣,51,細懸浮微粒,普通,1.7,0.18,10.3,15.6,27,13,6.1,6.4,0.3,1.5,113,"2023/07/16 06:00:00",0.1,15.5,35,1,120.409653,23.925175,35
南投,南投縣,43,,良好,0.7,0.14,9,15.9,25,10,4.5,5.1,0.6,1.5,207,"2023/07/16 06:00:00",0.1,13.3,25,0,120.685306,23.913,36
斗六,雲林縣,41,,良好,1.9,0.17,15.6,19.4,25,10,4.5,4.7,0.1,1.3,113,"2023/07/16 06:00:00",0.1,12.5,22,1,120.544994,23.711853,37
崙背,雲林縣,56,細懸浮微粒,普通,1.6,0.23,,11,45,26,10.5,14.2,3.7,1.4,101,"2023/07/16 06:00:00",0.2,17.6,33,0,120.348742,23.757547,38
新港,嘉義縣,48,,良好,1.8,0.18,25.5,12.3,22,16,6.5,8.7,2.1,0.6,55,"2023/07/16 06:00:00",0.2,14.7,24,2,120.345531,23.554839,39
朴子,嘉義縣,45,,良好,2.6,0.28,,10,24,12,12.5,14.2,1.6,0.3,326,"2023/07/16 06:00:00",0.2,13.9,23,2,120.2478,23.46538,40
