編號,國文,英文,數學,自然,社會
1,80,68,100,80,52
2,64,92,84,66,57
3,83,62,59,90,67
4,91,70,94,55,73
5,54,64,86,65,85
6,84,50,86,59,61
7,91,53,63,69,70
8,76,83,65,99,64
9,88,90,95,77,70
10,77,65,92,55,61
11,92,53,90,61,94
12,91,74,85,66,61
13,62,91,63,70,89
14,58,63,66,94,69
15,79,59,58,71,54
16,57,94,73,61,56
17,80,57,66,64,100
18,60,52,100,52,51
19,58,64,92,73,58
20,65,82,76,61,76
21,92,77,84,82,52
22,82,99,89,95,53
23,83,92,56,53,58
24,53,85,56,92,81
25,63,75,64,99,56
26,60,100,91,53,82
27,55,66,96,79,96
28,92,54,55,98,63
29,78,58,67,67,53
30,95,94,82,87,76
31,88,67,91,89,83
32,78,78,64,57,76
33,88,69,62,68,76
34,59,96,69,53,62
35,90,91,89,77,85
36,63,96,78,62,83
37,100,74,76,55,88
38,60,93,58,81,57
39,87,63,58,70,97
40,95,61,86,83,51
41,95,72,90,62,62
42,55,61,84,66,59
43,59,91,73,98,71
44,90,82,53,61,84
45,51,86,63,90,63
46,79,59,50,88,93
47,73,61,60,98,87
48,93,65,89,64,56
49,94,80,68,51,85
50,82,80,56,96,90
