編號,國文,英文,數學,自然,社會
1,57,51,69,52,74
2,77,54,98,61,52
3,55,57,81,96,70
4,77,76,51,74,52
5,99,89,75,64,87
6,95,91,93,61,79
7,78,94,85,90,85
8,65,91,56,56,94
9,81,56,71,50,91
10,81,90,53,97,87
11,52,76,68,95,88
12,67,69,63,97,61
13,92,53,52,94,94
14,98,98,66,91,53
15,58,75,56,91,50
16,98,89,60,78,96
17,64,70,97,80,68
18,80,91,75,66,57
19,94,78,92,86,68
20,54,93,69,96,55
21,99,54,100,64,53
22,66,83,87,98,51
23,72,100,56,69,58
24,59,68,53,67,60
25,64,75,79,62,69
26,69,85,76,92,99
27,75,76,99,58,55
28,72,87,78,50,52
29,100,96,94,68,76
30,80,89,65,75,76
31,50,82,50,80,69
32,50,90,83,82,55
33,75,89,71,50,98
34,98,81,64,87,52
35,60,74,97,59,96
36,64,86,80,58,65
37,82,79,73,84,71
38,84,80,57,52,87
39,62,51,58,59,54
40,79,77,73,75,97
41,86,87,89,86,96
42,90,68,78,58,98
43,55,53,88,91,51
44,94,66,85,64,73
45,72,52,94,79,79
46,83,87,100,52,57
47,68,52,83,82,61
48,85,85,76,72,61
49,51,82,79,100,68
50,66,97,68,95,64
